nova_group,nutriscore,n,pct
1,a,39072,56.64743236581901
1,b,12815,18.579464725838722
1,c,10526,15.260822918780988
1,d,4654,6.747470061182474
1,e,1907,2.7648099283788095
2,a,165,0.6399317406143344
2,b,11378,44.12814148309029
2,c,3449,13.37651256593236
2,d,1489,5.774899162271176
2,e,9303,36.08051504809184
3,a,17951,15.243327700551108
3,b,13156,11.171590397663103
3,c,29217,24.809999745251055
3,d,34242,29.07704457257373
3,e,23197,19.698037583961007
4,a,21954,7.145833062090695
4,b,24887,8.100498652466571
4,c,79335,25.822841668077128
4,d,82881,26.97703334331506
4,e,98171,31.95379327405054
