rank,country_code,country_name,n_products,discordance_any_pct,discordance_up_pct,discordance_down_pct,pct_nova4,mean_ns_score,ncd_mortality_pct,diabetes_pct,life_expectancy,overweight_adult_pct,gdp_per_capita_ppp
1,CUB,Cuba,55,30.91,30.91,0,0.73,7.56,NA,NA,NA,NA,NA
2,LUX,Luxembourg,106,26.42,24.53,1.89,0.75,7.01,7.8,5.8,83.2,51.52,155941.29
3,CHL,Chile,866,26.21,24.25,1.96,0.75,8.39,9.4,12.2,81.36,78.79,36181.16
4,THA,Thailand,273,23.81,23.81,0,0.9,9.74,14.5,10.2,76.56,45.68,24712.07
5,COL,Colombia,223,23.77,22.87,0.9,0.77,7.21,10.3,8.4,77.91,59.72,22349.44
6,ARE,United Arab Emirates,62,22.58,19.35,3.23,0.66,9.27,11.6,20.7,83.07,71.33,79228.74
7,NZL,New Zealand,262,20.99,19.85,1.15,0.65,7.61,10.3,6.7,82.01,67.44,55551.14
8,EST,Estonia,139,20.14,20.14,0,0.74,10.81,15.5,6.9,79.3,57.21,49968.71
9,LVA,Latvia,70,20,20,0,0.77,9.43,22.7,7.1,76.43,59.32,43394.27
10,FIN,Finland,1186,19.39,18.8,0.59,0.74,9.39,9.6,6.9,82.34,55.28,65378.38
11,USA,United States,33530,19.05,18.34,0.71,0.72,8.3,13.7,13.7,78.89,72.43,85809.9
12,NLD,Netherlands,2094,18.77,17.86,0.91,0.68,7.94,9.9,5,81.97,45.93,86173.63
13,SVK,Slovakia,54,18.52,18.52,0,0.76,12.81,16.6,7.1,78.37,60.56,48132.36
14,BRA,Brazil,3221,18.5,16.33,2.17,0.58,8.3,14.5,10.6,76.02,63,22338.48
15,IRL,Ireland,3672,17.1,16.29,0.82,0.66,9.17,9.6,3.6,83.01,64.74,133437.47
16,AUS,Australia,2771,16.56,15.73,0.83,0.68,10.59,8.3,7.4,83.05,63.96,72111.18
17,AND,Andorra,122,16.39,14.75,1.64,0.68,11.04,NA,10.1,84.19,48.17,74939.47
18,NOR,Norway,743,16.15,15.61,0.54,0.78,10.2,7.8,4.8,83.16,57.48,102037.53
19,GBR,United Kingdom,28128,15.67,14.51,1.16,0.61,8.95,11,7.4,81.39,61.42,62009.49
20,ZAF,South Africa,90,15.56,14.44,1.11,0.69,10.06,22.7,7.2,66.31,55.05,15456.2
21,SAU,Saudi Arabia,110,14.55,10.91,3.64,0.68,9.22,13.6,23.1,78.98,71.84,71375.37
22,World,World,110,14.55,14.55,0,0.5,8.03,NA,NA,NA,NA,NA
23,ARG,Argentina,663,14.48,13.73,0.75,0.82,12.65,13.4,14,77.54,68.42,30431.19
24,SVN,Slovenia,56,14.29,12.5,1.79,0.77,11.45,11.6,7,82.29,54.85,57186.37
25,JPN,Japan,113,14.16,14.16,0,0.73,11.52,8,8.1,84.04,24.04,52039.17
26,MEX,Mexico,5045,13.99,12.27,1.72,0.71,10.12,16.3,16.4,75.26,73.38,26185.36
27,GRC,Greece,231,13.42,10.82,2.6,0.6,9.95,12,8,81.84,61.44,44327.21
28,SGP,Singapore,91,13.19,13.19,0,0.71,9.38,10.3,11.4,83.35,40.73,150689.3
29,PRT,Portugal,5280,12.95,12.12,0.83,0.59,9.13,10.5,10.5,82.38,54.68,51679.89
30,European Union,European Union,72,12.5,11.11,1.39,0.64,8.82,NA,NA,NA,NA,NA
31,SRB,Serbia,82,12.2,10.98,1.22,0.68,11.71,20.7,10.5,75.97,54.27,32832.18
32,ALB,Albania,102,11.76,11.76,0,0.49,6.16,10,10.6,79.78,62.16,26701.67
33,DNK,Denmark,883,10.99,10.65,0.34,0.65,11.85,10.7,6.4,82.25,44.91,81878.23
34,BEL,Belgium,22451,10.89,9.75,1.14,0.64,10.29,9.2,5.9,82.3,51.08,73514.48
35,ROU,Romania,686,10.79,9.91,0.87,0.73,11.94,21.5,7.5,76.46,65.08,49076.54
36,HKG,Hong Kong,57,10.53,10.53,0,0.61,10.19,NA,8.2,85.39,NA,75195.99
37,SWE,Sweden,3915,10.45,9.04,1.4,0.63,9.91,7.9,5.8,84.06,50.55,71844.91
38,LTU,Lithuania,107,10.28,8.41,1.87,0.72,9.93,19.8,7.5,77.2,58.67,55285.9
39,CAN,Canada,11628,9.8,8.93,0.88,0.65,10.68,9.7,7.7,82.11,59.15,64610.38
40,POL,Poland,6907,9.79,8.34,1.45,0.59,9.05,17,8.1,78.41,62.74,51262.51
41,BOL,Bolivia,755,9.67,9.27,0.4,0.74,12.76,19.9,3.4,68.74,65.14,12877.64
42,HRV,Croatia,736,9.38,8.42,0.95,0.59,9.92,15.9,10.5,78.93,64.22,49550.79
43,MAR,Morocco,738,9.35,8.67,0.68,0.79,13.03,22,11.9,75.49,54.95,10415.12
44,ESP,Spain,27431,8.97,7.99,0.98,0.51,8.6,9.3,9.7,83.89,49.9,57965.29
45,FRA,France,484136,8.9,7.54,1.36,0.57,10.71,10.2,6.5,82.98,34.29,62556.92
