environment,package,version
R,R,4.5.2
R package,tidyverse,2.0.0
R package,lme4,2.0.1
R package,lmerTest,3.2.1
R package,performance,0.17.0
R package,ppcor,1.1
R package,boot,1.3.32
R package,ggplot2,4.0.1
R package,ggalluvial,0.12.6
R package,ggnewscale,0.5.2
R package,patchwork,1.3.2
R package,cowplot,1.2.0
R package,ggrepel,0.9.8
R package,sf,1.1.1
R package,rnaturalearth,1.2.0
R package,scales,1.4.0
R package,showtext,0.9.8
R package,janitor,2.2.1
Python,Python,3.11.15
Python package,pandas,2.3.2
Python package,numpy,2.2.6
Python package,scikit-learn,1.6.1
Python package,xgboost,3.0.4
Python package,lightgbm,4.6.0
Python package,optuna,4.8.0
Python package,shap,0.48.0
